These	DT	these
Tomioka	NP	Tomioka
became	VVD	become
a	DT	a
centre	NN	centre
for	IN	for
technical	JJ	technical
improvements	NNS	improvement
and	CC	and
a	DT	a
model	NN	model
that	WDT	that
enshrined	VVD	enshrine
Japan�fs	NP	Japan�fs
role	NN	role
in	IN	in
the	DT	the
global	JJ	global
raw	JJ	raw
silk	NN	silk
market	NN	market
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
20th	JJ	20th
century	NN	century
,	,	,
and	CC	and
which	WDT	which
bears	VVZ	bear
witness	NN	witness
to	TO	to
the	DT	the
early	JJ	early
advent	NN	advent
of	IN	of
a	DT	a
shared	JJ	shared
international	JJ	international
culture	NN	culture
of	IN	of
sericulture	NN	sericulture
.	SENT	.
The	DT	the
Sites	NP	Sites
of	IN	of
Japan�fs	NP	Japan�fs
Meiji	NP	Meiji
Industrial	NP	Industrial
Revolution	NP	Revolution
illustrate	VVP	illustrate
the	DT	the
process	NN	process
by	IN	by
which	WDT	which
feudal	JJ	feudal
Japan	NP	Japan
sought	VVD	seek
technology	NN	technology
transfer	NN	transfer
from	IN	from
Western	NP	Western
Europe	NP	Europe
and	CC	and
America	NP	America
from	IN	from
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
19th	JJ	19th
century	NN	century
and	CC	and
how	WRB	how
this	DT	this
technology	NN	technology
was	VBD	be
adopted	VVN	adopt
and	CC	and
progressively	RB	progressively
adapted	VVN	adapt
to	TO	to
satisfy	VV	satisfy
specific	JJ	specific
domestic	JJ	domestic
needs	NNS	need
and	CC	and
social	JJ	social
traditions	NNS	tradition
,	,	,
thus	RB	thus
enabling	VVG	enable
Japan	NP	Japan
to	TO	to
become	VV	become
a	DT	a
world-ranking	JJ	world-ranking
industrial	JJ	industrial
nation	NN	nation
by	IN	by
the	DT	the
early	JJ	early
20th	JJ	20th
century	NN	century
.	SENT	.
The	DT	the
sites	NNS	site
collectively	RB	collectively
represents	VVZ	represent
an	DT	an
exceptional	JJ	exceptional
interchange	VV	interchange
of	IN	of
industrial	JJ	industrial
ideas	NNS	idea
,	,	,
know-how	NN	know-how
and	CC	and
equipment	NN	equipment
,	,	,
that	WDT	that
resulted	VVD	result
,	,	,
within	IN	within
a	DT	a
short	JJ	short
space	NN	space
of	IN	of
time	NN	time
,	,	,
in	IN	in
an	DT	an
unprecedented	JJ	unprecedented
emergence	NN	emergence
of	IN	of
autonomous	JJ	autonomous
industrial	JJ	industrial
development	NN	development
in	IN	in
the	DT	the
field	NN	field
of	IN	of
heavy	JJ	heavy
industry	NN	industry
which	WDT	which
had	VHD	have
profound	JJ	profound
impact	NN	impact
on	IN	on
East	NP	East
Asia	NP	Asia
.	SENT	.
The	DT	the
Architectural	JJ	architectural
Work	NN	work
of	IN	of
Le	NP	Le
Corbusier	NP	Corbusier
exhibits	VVZ	exhibit
an	DT	an
unprecedented	JJ	unprecedented
interchange	VV	interchange
of	IN	of
human	JJ	human
values	NNS	value
,	,	,
on	IN	on
a	DT	a
worldwide	JJ	worldwide
scale	NN	scale
over	IN	over
half	PDT	half
a	DT	a
century	NN	century
,	,	,
in	IN	in
relation	NN	relation
to	TO	to
the	DT	the
birth	NN	birth
and	CC	and
development	NN	development
of	IN	of
the	DT	the
Modern	NP	Modern
Movement	NP	Movement
.	SENT	.
The	DT	the
Architectural	JJ	architectural
Work	NN	work
of	IN	of
Le	NP	Le
Corbusier	NP	Corbusier
revolutionized	VVD	revolutionize
architecture	NN	architecture
by	IN	by
demonstrating	VVG	demonstrate
,	,	,
in	IN	in
an	DT	an
exceptional	JJ	exceptional
and	CC	and
pioneering	VVG	pioneer
manner	NN	manner
,	,	,
the	DT	the
invention	NN	invention
of	IN	of
a	DT	a
new	JJ	new
architectural	JJ	architectural
language	NN	language
that	WDT	that
made	VVD	make
a	DT	a
break	NN	break
with	IN	with
the	DT	the
past	NN	past
.	SENT	.
The	DT	the
Architectural	JJ	architectural
Work	NN	work
of	IN	of
Le	NP	Le
Corbusier	NP	Corbusier
marks	VVZ	mark
the	DT	the
birth	NN	birth
of	IN	of
three	CD	three
major	JJ	major
trends	NNS	trend
in	IN	in
modern	JJ	modern
architecture	NN	architecture
:	:	:
Purism	NN	purism
,	,	,
Brutalism	NN	brutalism
and	CC	and
sculptural	JJ	sculptural
architecture	NN	architecture
.	SENT	.
The	DT	the
global	JJ	global
influence	NN	influence
reached	VVN	reach
by	IN	by
The	DT	the
Architectural	JJ	architectural
Work	NN	work
of	IN	of
Le	NP	Le
Corbusier	NP	Corbusier
on	IN	on
four	CD	four
continents	NNS	continent
is	VBZ	be
a	DT	a
new	JJ	new
phenomenon	NN	phenomenon
in	IN	in
the	DT	the
history	NN	history
of	IN	of
architecture	NN	architecture
and	CC	and
demonstrates	VVZ	demonstrate
its	PP$	its
unprecedented	JJ	unprecedented
impact	NN	impact
.	SENT	.
The	DT	the
Sacred	NP	Sacred
Island	NP	Island
of	IN	of
Okinoshima	NP	Okinoshima
Island	NP	Island
exhibits	VVZ	exhibit
important	JJ	important
interchanges	VVZ	interchange
and	CC	and
exchanges	NNS	exchange
amongst	IN	amongst
the	DT	the
different	JJ	different
polities	NNS	polity
in	IN	in
East	NP	East
Asia	NP	Asia
between	IN	between
the	DT	the
4th	JJ	4th
and	CC	and
the	DT	the
9th	JJ	9th
centuries	NNS	century
,	,	,
which	WDT	which
is	VBZ	be
evident	JJ	evident
from	IN	from
the	DT	the
abundant	JJ	abundant
finds	NNS	find
and	CC	and
objects	NNS	object
with	IN	with
a	DT	a
variety	NN	variety
of	IN	of
origins	NNS	origin
deposited	VVN	deposit
at	IN	at
sites	NNS	site
on	IN	on
the	DT	the
Island	NP	Island
where	WRB	where
rituals	NNS	ritual
for	IN	for
safe	JJ	safe
navigation	NN	navigation
were	VBD	be
performed	VVN	perform
.	SENT	.
The	DT	the
changes	NNS	change
,	,	,
in	IN	in
object	NN	object
distribution	NN	distribution
and	CC	and
site	NN	site
organisation	NN	organisation
,	,	,
attest	VV	attest
to	TO	to
the	DT	the
changes	NNS	change
in	IN	in
rituals	NNS	ritual
,	,	,
which	WDT	which
in	IN	in
turn	NN	turn
reflect	VVP	reflect
the	DT	the
nature	NN	nature
of	IN	of
the	DT	the
process	NN	process
of	IN	of
dynamic	JJ	dynamic
exchanges	NNS	exchange
that	WDT	that
took	VVD	take
place	NN	place
in	IN	in
those	DT	those
centuries	NNS	century
,	,	,
when	WRB	when
polities	NNS	polity
based	VVN	base
on	IN	on
the	DT	the
Asian	JJ	Asian
mainland	NN	mainland
,	,	,
the	DT	the
Korean	NP	Korean
Peninsula	NP	Peninsula
and	CC	and
the	DT	the
Japanese	JJ	Japanese
Archipelago	NP	Archipelago
,	,	,
were	VBD	be
developing	VVG	develop
a	DT	a
sense	NN	sense
of	IN	of
identity	NN	identity
and	CC	and
that	IN/that	that
substantially	RB	substantially
contributed	VVN	contribute
to	TO	to
the	DT	the
formation	NN	formation
of	IN	of
Japanese	JJ	Japanese
culture	NN	culture
.	SENT	.
